Store,Dry.Grocery..,Dairy..,Frozen.Food,Meat..,Produce..,Floral..,Deli..,Bakery..,General.Merchandise..,Cluster
S0028,0.452980599401,0.103237472308796,7.89614608685117e-02,0.119143713094658,0.116528949395721,3.53182781104101e-03,3.72980527562706e-02,3.01457788568993e-02,5.8172145507103e-02,3
S0029,0.441263950206526,9.94249497292628e-02,7.29609317973495e-02,0.131544898335709,9.9192514242471e-02,6.21958147806782e-03,4.28653903554217e-02,1.78216882865223e-02,8.87060955686724e-02,1
S0030,0.440520504924868,0.109386389669385,7.0796245082526e-02,0.111383818185255,0.116304307924223,8.30499168187675e-03,4.80720944280537e-02,3.05700383310603e-02,6.46616097727536e-02,3
S0031,0.455930952692042,0.103004622725724,7.77075455575365e-02,0.112896789036101,8.80009700111371e-02,6.28855550312098e-03,3.8720002184504e-02,2.03314907339555e-02,9.71190715558805e-02,1
S0032,0.448562656713771,9.42288805740417e-02,7.32268856963959e-02,0.115746723270164,9.64920884690194e-02,6.5092854363958e-03,4.00096161324733e-02,2.34743669952205e-02,0.101749496712516,1
S0033,0.438858984724825,0.101837250572847,7.98512667640971e-02,0.11881945163266,0.11319372632767,9.0029283623086e-03,4.08085268701766e-02,2.80110008384206e-02,6.96168639069973e-02,3
S0034,0.436937823157789,0.103669439680227,8.25283661355263e-02,0.109581219977518,0.114689477411482,1.16731273721125e-02,4.42126778996624e-02,2.90537027216168e-02,6.76541656440652e-02,2
S0035,0.464232502896668,0.101083279793684,7.8860219356672e-02,0.122160663856573,8.79664059063438e-02,7.24108295614931e-03,4.04211614512235e-02,2.92662018619185e-02,6.87684819207651e-02,3
S0036,0.494458380760763,9.46800780089668e-02,8.03417994221715e-02,0.1007038330333,9.80869212330217e-02,5.81731151521917e-03,3.05783915458015e-02,1.58822730182635e-02,7.94510114624924e-02,1
S0037,0.431724572510806,9.78222499873369e-02,7.70421893500629e-02,0.108129774821963,0.113851503106076,8.19292469640002e-03,3.9828865303187e-02,2.03087663841954e-02,0.103099153839971,1
S0038,0.442159338490808,0.107957659522757,8.30823211565313e-02,0.118933724191579,0.105235839581947,7.51692894439924e-03,3.79382745865357e-02,2.87773711108518e-02,6.83985424145919e-02,3
S0039,0.45266271314157,0.109018974101455,7.40224277896917e-02,0.137618963423933,7.39484848040788e-02,6.90328683906739e-03,3.55270616733211e-02,4.73044749862618e-02,6.29936132406251e-02,3
S0040,0.434125640560185,9.9327723885138e-02,7.5317566205215e-02,0.12881853164444,0.122698523619284,8.09004465646529e-03,3.95434169444433e-02,1.89113094661921e-02,7.31672430186401e-02,1
S0041,0.462020344757775,0.105856317785839,8.26159780607153e-02,0.102735030646755,9.50757307712221e-02,6.83894942681536e-03,4.99109724005888e-02,2.79189748983948e-02,6.70277012518942e-02,3
S0042,0.467815579697194,9.92723896887447e-02,7.9712598190491e-02,0.116922943383262,9.52164011531642e-02,5.91722228947586e-03,4.67005030177178e-02,2.8719857279993e-02,5.97225052999578e-02,3
S0043,0.447822878841721,0.102788602459739,8.16952602125878e-02,0.106441573848147,0.115498558517619,8.52612643326146e-03,3.76262367789252e-02,2.54114374189085e-02,7.41893254890906e-02,2
S0044,0.443887103714864,0.100262503384354,7.64269420061215e-02,0.126128886568582,0.10511899892722,5.66029117585936e-03,4.09873150869747e-02,3.70546804168471e-02,6.44732787191784e-02,3
S0045,0.444903415553737,0.102931496722557,8.38306437869856e-02,9.18046002612887e-02,0.105098837939904,9.31633941437609e-03,3.87173422908127e-02,2.25267703045805e-02,0.100870553725757,1
S0046,0.422679612081601,0.103366194622291,7.84875796528797e-02,0.108112524646544,0.118238009521811,1.04941636196658e-02,3.80019093495264e-02,2.85945197699721e-02,9.20254867357072e-02,2
S0047,0.446383981150276,9.66609158540593e-02,8.08216528976848e-02,0.106606535906256,0.101860553637284,8.44641727232133e-03,3.83132949637205e-02,2.07650313417021e-02,0.100141616976695,1
S0048,0.441344862034641,9.86476347549021e-02,8.17377768463484e-02,0.102411904927104,9.89170133531053e-02,9.52763570503457e-03,3.84805228304726e-02,2.65848122085996e-02,0.10234783733979,1
S0049,0.445450279408402,0.107740784555785,9.00471495836314e-02,9.43182933367078e-02,0.111598606699271,1.02717244406116e-02,4.17980182682332e-02,3.10461067416831e-02,6.77290369656767e-02,2
S0050,0.430251781685121,0.104800187512876,8.31692187221535e-02,9.75482579343416e-02,0.145262719851281,0.01489087611272,3.7216703521098e-02,2.09718604729529e-02,6.58883941874547e-02,2
S0051,0.45915595115415,0.105193362772419,8.46192404968909e-02,8.89227669280371e-02,0.121059700405214,8.38761000574188e-03,3.86572472981898e-02,3.17263130311539e-02,6.22778079082029e-02,2
S0052,0.423648730145092,9.45074675055558e-02,7.27937486643402e-02,0.109317027738449,0.141252938523342,1.5626181784306e-02,4.22976874668856e-02,2.45384770320008e-02,7.60177411400276e-02,2
S0053,0.471931519590718,0.101319757491926,7.48830791260264e-02,0.120258569681129,8.88553208185318e-02,6.51293487630962e-03,4.68527226059086e-02,2.78547982979154e-02,6.15312975115349e-02,3
S0054,0.44489058000064,0.104248228274346,8.23056195246151e-02,0.108817775622067,0.114629617277002,8.09137419036225e-03,4.37241756951776e-02,2.99659380273644e-02,6.33266913884252e-02,3
